listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles
229,38.878433,-77.018265,2664,28,15.8,0.09,72,1,0.24
230,38.880337,-77.006493,4617,28,15.8,0.27,71,0,0.89
231,38.899643,-77.015663,2998,28,16.5,0.08,193,2,0.4
232,38.916546,-77.023216,3315,28,18.3,0.06,187,4,0.33
233,38.874168,-77.00029,3250,34,17.8,0.15,82,1,0.84
234,38.921452,-77.081009,2670,28,12.8,0.08,87,0,1.81
235,38.906509,-77.035507,1891,28,15.8,0.09,235,3,0.33
236,38.952862,-77.068962,1796,28,14.2,0.03,108,2,0.57
237,38.88036,-77.006203,4677,28,15.8,0.26,71,0,0.91
238,38.93932,-77.037277,1899,28,11.2,0.06,124,2,0.29
239,38.912079,-77.041969,2195,28,17.5,0.13,176,1,0.43
240,38.962872,-77.07473,1815,28,17.7,0.03,106,1,0.16
241,38.948097,-77.066391,2499,28,13.8,0.02,101,1,0.22
242,38.89502,-76.977888,3500,34,13.8,0.12,111,3,0.41
243,38.878433,-77.018265,3703,28,15.8,0.09,72,1,0.24
244,38.874168,-77.00029,2225,34,17.8,0.15,82,1,0.84
245,38.878433,-77.018265,4343,28,15.8,0.09,72,1,0.24
246,38.935116,-77.033882,1665,28,14.7,0.06,152,2,0.38
247,38.923958,-77.053108,1866,28,14.3,0.04,96,0,0.98
248,38.916317,-77.032227,3621,28,16.7,0.04,210,3,0.44
249,38.904186,-77.028625,2889,28,17.3,0.11,250,4,0.37
250,38.938999,-77.061081,1799,28,11.8,0.04,78,1,0.49
251,38.901981,-76.979874,1617,34,15.5,0.04,124,3,0.55
252,38.910355,-77.022186,1998,28,17.7,0.03,230,4,0.13
253,38.879749,-77.014114,1624,28,14.5,0.11,74,1,0.49
254,38.909481,-77.048363,3363,28,16.3,0.02,160,1,0.45
255,38.902828,-77.005386,2503,28,17.8,0.02,137,2,0.43
256,38.921452,-77.081009,1949,28,12.8,0.08,87,0,1.81
257,38.91724,-77.033684,3034,28,17.5,0.04,200,3,0.46
258,38.908566,-77.034256,2476,28,14.7,0.08,248,5,0.43
259,38.935116,-77.033882,1699,28,14.7,0.06,152,2,0.38
260,38.908566,-77.034256,2997,28,14.7,0.08,248,5,0.43
261,38.941189,-77.001961,2379,28,12.7,0.04,128,0,1.25
262,38.899719,-76.994179,1835,34,16.0,0.03,132,2,0.1
263,38.910278,-77.055779,2194,28,16.7,0.04,133,0,0.83
264,38.917534,-77.068245,3259,28,17.2,0.05,115,0,1.89
265,38.907307,-76.998062,3755,28,17.2,0.09,153,3,0.54
266,38.950413,-77.066544,1485,28,13.3,0.03,102,1,0.38
267,38.874604,-77.000344,2200,34,17.8,0.12,81,1,0.82
268,38.899643,-77.015663,1944,28,16.5,0.08,193,2,0.4
269,38.910309,-77.008553,3580,28,17.8,0.05,169,3,0.7
270,38.901718,-77.035004,4009,28,15.8,0.04,229,3,0.29
271,38.879517,-77.005623,3162,28,15.8,0.19,74,0,0.89
272,38.943722,-77.061241,2083,28,11.8,0.09,66,1,0.27
273,38.88036,-77.006203,3126,28,15.8,0.26,71,0,0.91
274,38.907791,-77.034027,1964,28,14.7,0.13,239,4,0.43
275,38.937923,-77.023888,2650,28,15.5,0.06,153,0,0.95
276,38.92897,-77.054306,2325,28,18.3,0.07,83,0,0.82
277,38.917091,-77.022675,3855,28,16.2,0.05,193,4,0.32
278,38.9235,-77.042259,2470,28,17.7,0.04,139,2,0.76
279,38.906509,-77.035507,2235,28,15.8,0.09,235,3,0.33
280,38.896996,-77.045799,2277,28,16.8,0.06,127,2,0.65
281,38.922539,-77.043503,1976,28,17.3,0.02,148,2,0.83
282,38.899944,-76.997391,1460,34,15.2,0.03,133,2,0.07
283,38.916546,-77.023216,2200,28,18.3,0.06,187,4,0.33
284,38.917034,-77.047165,2625,28,17.8,0.06,134,1,0.83
285,38.931801,-77.037636,1673,28,16.8,0.04,138,2,0.25
286,38.935844,-77.081871,2025,28,11.2,0.04,104,0,1.06
287,38.936184,-77.055687,1621,28,13.2,0.04,69,2,0.82
288,38.907059,-77.045364,2798,28,14.7,0.04,176,1,0.22
289,38.907452,-77.032341,2850,28,14.7,0.04,250,4,0.51
290,38.879749,-77.014114,1787,28,14.5,0.11,74,1,0.49
291,38.910355,-77.022186,2448,28,17.7,0.03,230,4,0.13
292,38.934265,-77.071983,2250,28,16.8,0.03,125,1,0.8
293,38.904102,-77.017403,2621,28,16.7,0.12,221,2,0.26
294,38.880337,-77.006493,2703,28,15.8,0.27,71,0,0.89
295,38.906879,-77.03418,6755,28,14.7,0.11,239,4,0.4
296,38.91724,-77.033684,3079,28,17.5,0.04,200,3,0.46
297,38.943722,-77.061241,2387,28,11.8,0.09,66,1,0.27
298,38.880337,-77.006493,2262,28,15.8,0.27,71,0,0.89
299,38.875622,-77.007805,2401,28,17.8,0.07,61,0,0.8
300,38.924526,-77.030952,2500,28,14.8,0.07,181,2,0.36
301,38.906879,-77.03418,3939,28,14.7,0.11,239,4,0.4
302,38.909481,-77.048363,3453,28,16.3,0.02,160,1,0.45
303,38.929333,-77.073402,1799,28,14.3,0.01,95,0,1.15
304,38.916546,-77.023216,2160,28,18.3,0.06,187,4,0.33
305,38.955692,-77.011047,1800,28,15.2,0.06,142,0,1.46
306,38.922688,-77.029228,2757,28,14.2,0.11,195,3,0.21
307,38.904655,-77.051949,3233,28,15.8,0.09,142,1,0.57
308,38.910309,-77.008553,2295,28,17.8,0.05,169,3,0.7
309,38.874168,-77.00029,3115,34,17.8,0.15,82,1,0.84
310,38.915081,-76.97184,1846,34,15.0,0.11,85,3,0.75
311,38.879749,-77.014114,1624,28,14.5,0.11,74,1,0.49
312,38.879082,-77.013382,3250,28,14.5,0.11,72,1,0.51
313,38.904102,-77.017403,2558,28,16.7,0.12,221,2,0.26
314,38.899643,-77.015663,3830,28,16.5,0.08,193,2,0.4
315,38.907616,-77.034286,2037,28,14.7,0.14,239,4,0.41
316,38.90517,-77.006294,2157,28,17.8,0.14,155,3,0.57
317,38.873459,-77.00943,3259,28,15.5,0.09,51,1,0.75
318,38.879749,-77.014114,1624,28,14.5,0.11,74,1,0.49
319,38.936184,-77.055687,2388,28,13.2,0.04,69,2,0.82
320,38.904655,-77.051949,6129,28,15.8,0.09,142,1,0.57
321,38.906509,-77.035507,2319,28,15.8,0.09,235,3,0.33
322,38.90942,-77.040604,4775,28,14.2,0.07,193,2,0.25
323,38.941189,-77.001961,2211,28,12.7,0.04,128,0,1.25
324,38.92897,-77.054306,1649,28,18.3,0.07,83,0,0.82
325,38.899719,-76.994179,3345,34,16.0,0.03,132,2,0.1
326,38.943722,-77.061241,2183,28,11.8,0.09,66,1,0.27
327,38.910309,-77.008553,2105,28,17.8,0.05,169,3,0.7
328,38.95285,-77.016182,2154,28,14.3,0.19,150,0,1.21
329,38.896446,-77.046944,2117,28,18.8,0.04,107,2,0.71
330,38.91647,-77.031593,2900,28,18.3,0.04,215,2,0.4
331,38.926666,-77.038605,1860,28,14.5,0.08,146,3,0.55
332,38.928524,-77.033623,1905,28,15.7,0.04,175,3,0.56
333,38.952862,-77.068962,2065,28,14.2,0.03,108,2,0.57
334,38.880337,-77.006493,3409,28,15.8,0.27,71,0,0.89
335,38.928207,-77.073692,2838,28,14.5,0.04,92,0,1.22
336,38.877972,-77.005531,2922,28,15.8,0.1,72,0,0.93
337,38.926884,-77.040436,3800,28,14.5,0.04,140,2,0.52
338,38.91901,-77.035378,2250,28,17.5,0.07,193,1,0.5
339,38.899643,-77.015663,2273,28,16.5,0.08,193,2,0.4
340,38.931023,-77.037048,1885,28,16.8,0.03,150,2,0.31
341,38.90517,-77.006294,2998,28,17.8,0.14,155,3,0.57
342,38.904102,-77.017403,2663,28,16.7,0.12,221,2,0.26
343,38.901981,-76.979874,1969,34,15.5,0.04,124,3,0.55
344,38.875031,-77.008392,2539,28,17.8,0.11,56,1,0.78
345,38.904102,-77.017403,2202,28,16.7,0.12,221,2,0.26
346,38.912033,-77.031609,2650,28,17.0,0.03,230,4,0.66
347,38.878433,-77.018265,2783,28,15.8,0.09,72,1,0.24
348,38.90403,-77.048317,2210,28,16.2,0.09,151,1,0.39
349,38.90649,-77.033157,1699,28,14.7,0.06,250,4,0.45
350,38.923824,-77.024841,1650,28,16.2,0.11,181,3,0.23
351,38.973064,-77.028317,2350,28,17.3,0.06,114,0,1.25
352,38.9184,-77.023079,2302,28,16.2,0.06,194,3,0.24
353,38.934265,-77.071983,2600,28,16.8,0.03,125,1,0.8
354,38.908833,-77.048485,3095,28,16.3,0.06,154,1,0.43
355,38.914276,-77.038185,2399,28,15.2,0.08,199,2,0.61
356,38.90799,-76.982582,2150,34,17.3,0.03,119,2,0.86
357,38.906879,-77.03418,3944,28,14.7,0.11,239,4,0.4
358,38.916317,-77.032227,3233,28,16.7,0.04,210,3,0.44
359,38.907059,-77.045364,1952,28,14.7,0.04,176,1,0.22
360,38.905006,-77.029045,2050,28,16.7,0.12,253,4,0.41
361,38.90649,-77.033157,1899,28,14.7,0.06,250,4,0.45
362,38.935844,-77.081871,1893,28,11.2,0.04,104,0,1.06
363,38.904102,-77.017403,2834,28,16.7,0.12,221,2,0.26
364,38.898209,-76.97393,3000,34,14.7,0.03,96,4,0.36
365,38.915031,-77.044556,1975,28,17.5,0.08,165,1,0.65
366,38.933712,-76.991501,1375,34,16.5,0.04,169,3,0.61
367,38.918381,-77.023216,2337,28,16.2,0.06,193,3,0.23
368,38.910355,-77.022186,1913,28,17.7,0.03,230,4,0.13
369,38.905846,-77.0299,2597,28,15.5,0.13,256,4,0.48
370,38.875031,-77.008392,2654,28,17.8,0.11,56,1,0.78
371,38.875164,-77.006271,4373,28,17.8,0.09,66,0,0.89
372,38.879501,-77.004631,2605,34,15.8,0.18,73,0,0.84
373,38.906879,-77.03418,3939,28,14.7,0.11,239,4,0.4
374,38.879749,-77.014114,1787,28,14.5,0.11,74,1,0.49
375,38.880337,-77.006493,4774,28,15.8,0.27,71,0,0.89
376,38.896996,-77.045799,2324,28,16.8,0.06,127,2,0.65
377,38.935116,-77.033882,1643,28,14.7,0.06,152,2,0.38
378,38.875031,-77.008392,2759,28,17.8,0.11,56,1,0.78
379,38.918381,-77.023216,2322,28,16.2,0.06,193,3,0.23
