listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles,price_log,nearest_bus_stop_miles_log,nearby_bus_stops_log,QoL_index
6749,38.853363,-77.364319,2812,23,11.8,0.22,16,0,4.11,7.9420068084898565,0.1988508587451652,2.833213344056216,0.16812602161750276
6752,38.760677,-77.151009,3110,28,13.8,2.57,0,0,1.73,8.042699496897637,1.2725655957915476,0.0,-0.5067268600128141
6753,38.869484,-77.23159,2550,23,14.7,0.22,37,2,0.02,7.844240718141811,0.1988508587451652,3.6375861597263857,0.7273843285198835
6754,38.75555,-77.079102,1655,28,15.2,0.23,6,0,2.06,7.412160334945205,0.20701416938432612,1.9459101490553132,0.020542928692575933
7036,38.947784,-77.356766,2275,23,14.2,5.8,0,0,3.55,7.730174795246222,1.916922612182061,0.0,-0.4097731937091232
7037,38.801121,-77.160873,2438,28,16.0,0.35,10,0,1.02,7.79934339821592,0.30010459245033805,2.3978952727983707,0.08325964343890688
7038,38.793781,-77.298325,2190,24,17.2,0.23,23,0,1.97,7.692113339595466,0.20701416938432612,3.1780538303479458,0.41796094032292025
7039,38.834949,-77.42524,2578,22,16.5,3.66,0,0,7.25,7.8551570058813445,1.5390154481375546,0.0,-0.184614702308256
7040,38.95015,-77.424637,2595,22,12.7,6.89,0,0,7.22,7.86172707782398,2.065596134857783,0.0,-0.4708528169911642
7041,38.85157,-77.340866,2285,23,15.7,0.05,25,0,2.86,7.734558844354756,0.04879016416943201,3.258096538021482,0.4325950977827116
7042,38.858917,-77.353966,2699,23,17.7,0.09,25,0,3.71,7.90100705199242,0.08617769624105233,3.258096538021482,0.5137605302732503
7043,38.947784,-77.356766,2633,23,14.2,5.8,0,0,3.55,7.876258882303226,1.916922612182061,0.0,-0.41243682365108203
7044,38.90773,-77.22036,3280,23,13.2,0.4,16,0,2.68,8.0959035329611,0.33647223662121295,2.833213344056216,0.2007366892221061
