listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles
21340,39.326328,-76.604881,1150,47,15.3,20.05,0,0,22.24
21341,39.317987,-76.453734,1900,47,15.5,26.47,0,0,27.8
21342,39.295794,-76.582693,2295,47,14.5,19.33,0,0,21.44
21343,39.27036,-76.611761,1875,47,14.3,17.0,0,0,19.49
21344,39.299416,-76.613838,1199,47,19.0,18.34,0,0,20.5
21345,39.299473,-76.613846,745,47,19.0,18.34,0,0,20.5
21346,39.321642,-76.611619,1950,47,13.2,19.57,0,0,21.76
21347,39.307835,-76.634628,950,47,15.0,18.05,0,0,20.25
21348,39.299606,-76.680661,2150,47,8.0,16.15,0,0,18.39
21349,39.337914,-76.607445,650,47,11.8,20.59,0,0,22.79
21350,39.237384,-76.609238,1500,47,18.0,17.2,0,0,17.91
21351,39.282189,-76.617327,3100,47,17.0,17.35,0,0,19.48
21352,39.308796,-76.625717,2000,47,15.0,18.41,0,0,20.6
21353,39.322296,-76.575272,2449,47,14.0,20.9,0,0,23.05
21354,39.278523,-76.60595,2950,47,18.3,17.61,0,0,19.72
21355,39.323881,-76.574571,1400,47,14.0,21.01,0,0,23.15
21356,39.372144,-76.589872,2100,47,11.3,23.03,0,0,25.25
21357,39.326118,-76.615044,1850,47,16.7,19.7,0,0,21.89
21358,39.289074,-76.538848,2900,47,14.8,22.19,0,0,23.1
21359,39.357437,-76.600777,1100,47,13.2,21.87,0,0,24.09
21360,39.299473,-76.613846,1199,47,19.0,18.34,0,0,20.5
21361,39.299145,-76.579636,1250,47,13.5,19.61,0,0,21.72
21362,39.332454,-76.633492,2300,47,19.2,19.45,0,0,21.67
21363,39.352294,-76.604513,2000,47,12.7,21.47,0,0,23.68
21364,39.299473,-76.613846,745,47,19.0,18.34,0,0,20.5
21365,39.31343,-76.632633,1185,47,12.5,18.42,0,0,20.63
21366,39.302261,-76.613449,4400,47,18.5,18.5,0,0,20.66
21367,39.347514,-76.594551,1900,47,11.2,21.53,0,0,23.73
21368,39.284973,-76.587893,3850,47,17.8,18.62,0,0,21.09
21369,39.369366,-76.592438,2450,47,8.8,22.8,0,0,25.02
21370,39.325861,-76.591183,2000,47,10.3,20.51,0,0,22.68
21371,39.313709,-76.512238,2500,47,5.0,24.39,0,0,25.31
21372,39.278523,-76.60595,3250,47,18.3,17.61,0,0,19.72
21373,39.235561,-76.707289,1850,47,6.3,11.73,0,0,13.93
21374,39.284752,-76.597015,1800,47,18.7,18.25,0,0,20.36
21375,39.321789,-76.614166,1600,47,13.2,19.49,0,0,21.68
21376,39.273926,-76.613086,1100,47,19.0,17.11,0,0,19.22
21377,39.271763,-76.602304,2200,47,14.5,17.44,0,0,19.9
21378,39.301597,-76.640023,1600,47,13.3,17.54,0,0,19.74
21379,39.284487,-76.573339,2400,47,15.3,20.98,0,0,21.59
