listing_db_id,latitude,longitude,cluster
20430,38.9779,-76.5038,1869
20431,39.1298,-76.6358,300
20432,39.2018,-76.6082,1894
20433,39.1592,-76.7378,1880
20434,39.1488,-76.7256,248
20435,39.1316,-76.6232,301
20436,39.1403,-76.6481,294
20437,39.1735,-76.5633,280
20438,39.0716,-76.7001,239
20439,39.0456,-76.4547,170
20440,38.9814,-76.5029,1853
20441,39.0675,-76.7135,239
20442,39.1403,-76.6481,294
20443,38.9796,-76.5238,197
20444,38.9796,-76.5238,197
20445,39.1898,-76.6195,296
20446,39.1861,-76.6151,296
20447,39.1546,-76.5875,1928
20448,39.1298,-76.6358,300
20449,38.9636,-76.4854,198
20450,39.1108,-76.8228,251
20451,39.2311,-76.61,304
20452,39.1947,-76.6238,295
20453,39.1108,-76.8228,251
20454,38.954,-76.4836,199
20455,39.1551,-76.6061,1939
20456,38.9636,-76.4854,198
20457,38.9695,-76.545,181
20458,39.1108,-76.8228,251
20459,39.1187,-76.7083,255
20460,39.0703,-76.7159,239
20461,38.9636,-76.4854,198
20462,39.1327,-76.7514,245
20463,38.9695,-76.545,181
20464,38.9794,-76.4883,1837
20465,39.161,-76.7189,254
20466,39.117,-76.7104,255
20467,38.9794,-76.4883,1837
20468,39.1638,-76.511,1822
20469,38.9996,-77.0309,719
20470,38.9912,-77.1023,2274
20471,39.0176,-77.1214,2543
20472,39.0117,-77.0452,2508
20473,38.993,-77.0964,638
20474,38.975,-76.9907,2512
20475,38.9935,-77.0451,2475
20476,39.0067,-77.0122,680
20477,38.9804,-77.0932,637
20478,39.0124,-77.1214,2532
20479,38.9504,-77.1151,2264
20480,38.9937,-76.965,2253
20481,38.963,-77.0898,694
20482,38.9956,-77.0759,634
20483,38.9887,-77.1455,2195
20484,38.9895,-77.0304,725
20485,39.0152,-77.055,2508
20486,38.9887,-77.0832,2273
20487,38.9977,-77.0662,634
20488,39.013,-77.0029,2252
20489,38.9893,-77.0047,680
20490,38.99,-77.0743,634
20491,39.1721,-76.5703,280
20492,39.1433,-76.4523,1811
20493,38.8254,-76.6462,1627
20494,38.8479,-76.4943,1438
20495,39.1333,-76.6079,1882
20496,39.1942,-76.7028,232
20497,39.1434,-76.6111,297
20498,39.0389,-76.4762,170
20499,39.1952,-76.6187,295
20500,39.1628,-76.612,1940
20501,39.1347,-76.7537,245
20502,38.8328,-76.5133,1439
20503,39.1079,-76.8029,1745
20504,39.0135,-76.667,1734
20505,39.0209,-76.4198,1581
20506,38.9554,-76.4762,199
20507,39.1219,-76.6142,1882
20508,39.16,-76.6293,1922
20509,38.9608,-76.4858,198
20510,39.1086,-76.7089,1895
20511,38.9729,-76.4807,1837
20512,39.0839,-76.6846,1796
20513,38.9416,-76.4889,1823
20514,39.0486,-76.7,1797
20515,38.9379,-76.4914,1823
20516,39.1666,-76.566,280
20517,39.173,-76.5566,280
20518,39.1958,-76.6208,295
20519,39.1162,-76.7069,255
20520,39.0369,-76.6767,1785
20521,39.0495,-76.709,239
20522,38.9566,-76.4892,1855
20523,39.1685,-76.5679,280
20524,38.9795,-76.4901,1836
20525,39.0162,-76.5742,1715
20526,39.0383,-76.5723,1715
20527,39.0153,-76.6675,240
20528,39.0453,-76.4702,170
20529,39.1503,-76.7709,245
20530,39.0494,-76.5706,1715
20531,39.0622,-76.7176,239
20532,39.1004,-76.8089,1745
20533,39.1175,-76.7045,255
20534,39.1273,-76.6468,1821
20535,39.1166,-76.6186,302
20536,39.2153,-76.6579,1868
20537,39.2355,-76.6146,304
20538,39.1478,-76.7454,1832
20539,39.0328,-76.6812,240
20540,39.1502,-76.6043,1939
20541,39.0081,-76.6676,1734
20542,38.9758,-76.512,1870
20543,39.1067,-76.7188,1834
20544,39.1025,-76.7063,1895
20545,39.1615,-76.5388,1851
20546,39.1949,-76.6084,1910
20547,38.8376,-76.5174,1439
20548,38.9445,-76.5502,1635
20549,38.9627,-76.542,181
20550,38.9779,-76.5038,1869
20551,38.9608,-76.4759,198
20552,38.9541,-76.5053,1897
20553,38.9773,-76.508,1870
20554,39.0782,-76.5697,1724
20555,39.0835,-76.6857,1796
20556,39.1497,-76.6333,1930
20557,39.2485,-76.6265,303
20558,38.9354,-76.5439,1635
20559,39.103,-76.7171,1834
20560,39.1401,-76.7588,245
20561,39.1564,-76.4752,1811
20562,39.0294,-76.436,1581
